,website,title,description
0,https://www.kmd.dk/,KMD - IT og teknologi til det offentlige og erhverv,KMD er blandt nogle af Danmarks største it- og softwarevirksomheder. KMD leverer it-løsninger til erhverv og det offentlige. Se mere her.
1,https://pfa.dk/privat/,Pension – få størst mulig udbytte af dine pensionspenge – PFA Pension,
2,https://dynatest.com/,Dynatest - Home,"Dynatest provides the best pavement testing equipment, software, and technical support. Get accurate data and the highest standard of pavement technology."
3,https://www.oticon.dk/hearing-aid-users,"
	Oticons høreapparater | Livsændrende høreteknologi
",Oticons høreapparater kan hjælpe dig med at høre bedre. Se vores høreløsninger og trådløse tilbehør og læs mere om høretab og tinnitus.
4,https://www.topdanmark.dk/,Topdanmark | Vi er her for at hjælpe,"Hos os skal du ikke bekymre dig om dine forsikringer. Vi gør det nemt og enkelt. Og hjælper dig, når uheldet er ude."
5,https://northtech.dk/,NorthTech | IT med omtanke,
6,https://www.netcompany.com/da,Netcompany - IT and Business Consulting,"Netcompany leverer forretningskritiske it-løsninger og rådgivning, der hjælper vores kunder med at opnå markante forretningsfordele og effektiviseringer ved udnyttelse af den nyeste teknologi"
7,https://www.novonordisk.dk/,Velkommen til Novo Nordisk Danmark,"Vi er en global lægemiddelvirksomhed, der blev grundlagt i 1923 med hovedkontor lige uden for København. Vores formål er at drive forandring for at bekæmpe diabetes og andre alvorlige kroniske sygdomme som svær overvægt og sjældne blodsygdomme og endokrine sygdomme."
8,https://www.formpipe.com/da/,Formpipe - En værdifuld forbindelse til jeres data,"Vi har over 5500 kunder på tværs af brancher over hele verden, hvor vi hjælper dem med digitalisering af deres forretningsprocesser."
9,https://www.alpha-solutions.com,,
10,https://dafolo.dk/,"
	Forside
",
11,https://nuuday.dk/,Nuuday,Nuuday - make sense with technology
